Institute ID,Name,City,State,Score,Rank
IR-E-C-18886,Shri Ramdeobaba College of Engineering and ManagementMore Details |  |,Nagpur,Maharashtra,36.62,113
IR-E-C-1371,New Horizon College of EngineeringMore Details |  |,Bengaluru,Karnataka,36.6,114
IR-E-U-0186,Jaypee University of Information TechnologyMore Details |  |,Solan,Himachal Pradesh,36.55,115
IR-E-U-0143,Maharaja Sayajirao University of BarodaMore Details |  |,Vadodara,Gujarat,36.54,116
IR-E-U-0223,Jain UniversityMore Details |  |,Bengluru,Karnataka,36.49,117
IR-E-U-0043,"Vignan's Foundation for Science, Technology & ResearchMore Details |  |",Guntur,Andhra Pradesh,36.28,118
IR-E-U-0367,Veer Surendra Sai University of TechnologyMore Details |  |,Burla,Odisha,36.13,119
IR-E-U-0175,YMCA University of Science and TechnologyMore Details |  |,Faridabad,Haryana,35.91,120
IR-E-S-8898,"National Institute of Food Technology, Enterprenurship & ManagementMore Details |  |",Sonipat,Haryana,35.65,121
IR-E-C-6581,Pondicherry Engineering CollegeMore Details |  |,Puducherry,Pondicherry,35.49,122
IR-E-U-0445,B. S. Abdur Rahman Crescent Institute of Science and TechnologyMore Details |  |,Chennai,Tamil Nadu,35.41,123
IR-E-C-25622,Chaitanya Bharathi Institute of TechnologyMore Details |  |,Hyderabad,Telangana,35.32,124
IR-E-C-33773,Bharatiya Vidya Bhavan`s Sardar Patel Institute of TechnologyMore Details |  |,Mumbai,Maharashtra,35.27,125
IR-E-C-1413,Dayananda Sagar College of EngineeringMore Details |  |,Bengaluru,Karnataka,35.11,126
IR-E-C-19667,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and TechnologyMore Details |  |,Hyderabad,Telangana,34.99,127
IR-E-C-1352,Nitte Meenakshi Institute of TechnologyMore Details |  |,Bengaluru,Karnataka,34.97,128
IR-E-U-0774,DIT UniversityMore Details |  |,Dehradun,Uttarakhand,34.93,129
IR-E-U-0621,National Institute of Technology PuducherryMore Details |  |,Karaikal,Pondicherry,34.87,130
IR-E-U-0146,Nirma UniversityMore Details |  |,Ahmedabad,Gujarat,34.85,131
IR-E-C-1412,JSS Science and Technology UniversityMore Details |  |,Mysuru,Karnataka,34.81,132
IR-E-C-1400,N M A M Institute of TechnologyMore Details |  |,"Nitte, Udupi",Karnataka,34.73,133
IR-E-U-0535,Rajiv Gandhi Institute of Petroleum TechnologyMore Details |  |,Amethi,Uttar Pradesh,34.59,134
IR-E-C-37065,Kongu Engineering CollegeMore Details |  |,Perundurai,Tamil Nadu,34.45,135
IR-E-U-0854,KLE Technological UniversityMore Details |  |,Dharwad,Karnataka,34.34,136
IR-E-U-0384,Sant Longowal Institute of Engineering & TechnologyMore Details |  |,Longowal,Punjab,34.27,137
IR-E-U-0938,Dr. Vishwanath Karad MIT World Peace UniversityMore Details |  |,Pune,Maharashtra,34.17,138
IR-E-C-18817,G. H. Raisoni College of EngineeringMore Details |  |,Nagpur,Maharashtra,34.07,139
IR-E-C-18254,Yeshwantrao Chavan College of EngineeringMore Details |  |,Nagpur,Maharashtra,34.07,139
IR-E-C-19607,CVR College Of EngineeringMore Details |  |,Ibrahimpatan,Telangana,33.87,141
IR-E-C-37089,Sri Ramakrishna Engineering CollegeMore Details |  |,Coimbatore,Tamil Nadu,33.79,142
IR-E-C-19650,Vardhaman College of EngineeringMore Details |  |,Rangareddy,Telangana,33.75,143
IR-E-U-0332,The Rashtrasant Tukadoji Maharaj Nagpur UniversityMore Details |  |,Nagpur,Maharashtra,33.68,144
IR-E-U-0046,North Eastern Regional Institute of Science & TechnologyMore Details |  |,Itanagar,Arunachal Pradesh,33.67,145
IR-E-U-0685,Indira Gandhi Delhi Technical University for WomenMore Details |  |,Delhi,Delhi,33.67,145
IR-E-C-1345,P E S College of EngineeringMore Details |  |,Mandya,Karnataka,33.65,147
IR-E-C-43264,National Institute of Foundry and Forge Technology (NIFFT)More Details |  |,Ranchi,Jharkhand,33.57,148
IR-E-I-1441,Saveetha Institute of Medical and Technical SciencesMore Details |  |,Chennai,Tamil Nadu,33.55,149
IR-E-C-37028,Sona College of TechnologyMore Details |  |,Salem,Tamil Nadu,33.53,150
IR-E-N-10,SVKM`s Narsee Monjee Institute of Management StudiesMore Details |  |,Mumbai,Maharashtra,33.5,151
IR-E-C-37064,Sri Krishna College of TechnologyMore Details |  |,Coimbatore,Tamil Nadu,33.43,152
IR-E-U-0037,Sri Venkateswara UniversityMore Details |  |,Tirupati,Andhra Pradesh,33.29,153
IR-E-C-6202,Heritage Institute of TechnologyMore Details |  |,Kolkata,West Bengal,33.27,154
IR-E-C-16614,R. M. K. Engineering CollegeMore Details |  |,Thiruvallur,Tamil Nadu,33.24,155
IR-E-C-18010,Velagapudi Ramakrishna Siddhartha Engineering CollegeMore Details |  |,Vijayawada,Andhra Pradesh,33.13,156
IR-E-U-0592,Maulana Abul Kalam Azad University of TechnologyMore Details |  |,Nadia,West Bengal,33.07,157
IR-E-U-0613,National Institute of Technology ManipurMore Details |  |,Imphal,Manipur,33.02,158
