PARID,BOROCODE,BLOCK,LOT,TAXYEAR,STREET NUMBER,STREET NAME,Postcode,BLDG_CLASS,TAXCLASS,OWNER_NAME,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
1013920017,1,1392,17,2021,992,MADISON AVENUE,10075,H1,4,MADISON SEVENTY-SEVE,MANHATTAN,40.775101,-73.963025,108,4,142,1041821,1013920017,Upper East Side-Carnegie Hill
1014000060,1,1400,60,2021,124,EAST 66 STREET,10065,H5,4,COSMOPOLITAN CLUB,MANHATTAN,40.76676,-73.965369,108,4,120,1081411,1014000060,Upper East Side-Carnegie Hill
1014040001,1,1404,1,2021,701,PARK AVENUE,10021,H5,4,UNION CLUB OF THE CITY OF,MANHATTAN,40.769068,-73.964725,108,4,120,1042480,1014040001,Upper East Side-Carnegie Hill
1014190010,1,1419,10,2021,215,EAST 64 STREET,10065,HS,4,"DENIHAN OWNERSHIP COMPANY, LLC",MANHATTAN,40.764452,-73.963735,108,4,118,1043868,1014190010,Lenox Hill-Roosevelt Island
1014350020,1,1435,20,2021,345,EAST 60 STREET,10022,HS,4,FIRST SIGMA DE LLC,MANHATTAN,40.760564,-73.96226,108,5,110,1044201,1014350020,Lenox Hill-Roosevelt Island
1014350021,1,1435,21,2021,347,EAST 60 STREET,10022,HS,4,FIRST SIGMA DE LLC,MANHATTAN,40.760556,-73.962239,108,5,110,1044202,1014350021,Lenox Hill-Roosevelt Island
1014350022,1,1435,22,2021,349,EAST 60 STREET,10022,HS,4,FIRST SIGMA DE LLC,MANHATTAN,40.760545,-73.962217,108,5,110,1044203,1014350022,Lenox Hill-Roosevelt Island
1014350023,1,1435,23,2021,1097,1 AVENUE,10065,HS,4,FIRST SIGMA DE LLC,MANHATTAN,40.760328,-73.961463,108,5,110,1044204,1014350023,Lenox Hill-Roosevelt Island
1014350024,1,1435,24,2021,1099,1 AVENUE,10065,HS,4,FIRST SIGMA DE LLC,MANHATTAN,40.760391,-73.961416,108,5,110,1044205,1014350024,Lenox Hill-Roosevelt Island
1014350025,1,1435,25,2021,1101,1 AVENUE,10065,HS,4,FIRST SIGMA DE LLC,MANHATTAN,40.760454,-73.961372,108,5,110,1044206,1014350025,Lenox Hill-Roosevelt Island
1014350026,1,1435,26,2021,1103,1 AVENUE,10065,HS,4,FIRST SIGMA DE LLC,MANHATTAN,40.760518,-73.961325,108,5,110,1044207,1014350026,Lenox Hill-Roosevelt Island
1014640021,1,1464,21,2021,1293,YORK AVENUE,10021,H8,4,CORNELL UNIVERSITY,MANHATTAN,40.765017,-73.955099,108,5,124,1045585,1014640021,Lenox Hill-Roosevelt Island
1014640030,1,1464,30,2021,428,YORK AVENUE,10021,H8,4,CORNELL UNIVERSITY,,,,,,,,,
1014740031,1,1474,31,2021,500,EAST 62 STREET,10065,HB,4,"PLAZA EAST HOTEL, LLC",MANHATTAN,40.760481,-73.958246,108,5,10602,1046251,1014740031,Lenox Hill-Roosevelt Island
1015040020,1,1504,20,2021,43,EAST 92 STREET,10128,HS,4,1295 PROPERTY LLC,MANHATTAN,40.78454,-73.9557,108,4,16001,1047067,1015040020,Upper East Side-Carnegie Hill
1015150045,1,1515,45,2021,164,EAST 87 STREET,10128,H3,4,164 EAST 87TH ST LLC,MANHATTAN,40.779901,-73.954472,108,5,14802,1087120,1015150045,Upper East Side-Carnegie Hill
1015571103,1,1557,1103,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
