,artist,album,track_name,track_id,energy,danceability,key,loudness,acousticness,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,genre
39,Regard,Ride It,Ride It,2tnVG71enUj33Ic2nFN6kZ,0.751,0.88,7,-4.258,0.177,0.0874,6.43e-05,0.106,0.884,117.948,157606,Dance/Electronic
40,Travis Scott,Birds In The Trap Sing McKnight,goosebumps,6gBFPUFcJLzWGx4lenP6h2,0.728,0.841,7,-3.37,0.0847,0.0484,0.0,0.149,0.43,130.049,243837,Hip-Hop/Rap
41,Black Eyed Peas,Translation,RITMO (Bad Boys For Life),4NCsrTzgVfsDo8nWyP8PPc,0.704,0.723,10,-7.088,0.0259,0.0571,0.00109,0.792,0.684,105.095,214935,Pop
42,THE SCOTTS,THE SCOTTS,THE SCOTTS,39Yp9wwQiSRIDOvrVg7mbk,0.537,0.716,0,-7.648,0.233,0.0514,0.0,0.157,0.28,129.979,165978,Hip-Hop/Rap
43,Bad Bunny,YHLQMDLG,Safaera,2DEZmgHKAvm41k4J3R2E9Y,0.829,0.607,2,-4.074,0.0103,0.379,0.0,0.107,0.685,96.172,295177,Alternative/reggaeton/experimental
44,Billie Eilish,lovely (with Khalid),lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,0.296,0.351,4,-10.109,0.934,0.0333,0.0,0.095,0.12,115.284,200186,Chamber pop
45,Juice WRLD,Goodbye & Good Riddance,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,0.566,0.511,6,-7.23,0.349,0.2,0.0,0.34,0.218,83.903,239836,Pop
46,Ariana Grande,Stuck with U,Stuck with U (with Justin Bieber),4HBZA5flZLE435QTztThqH,0.45,0.597,8,-6.658,0.223,0.0418,0.0,0.382,0.537,178.765,228482,Pop
47,JP Saxe,If the World Was Ending (feat. Julia Michaels),If the World Was Ending - feat. Julia Michaels,2kJwzbxV2ppxnQoYw4GLBZ,0.473,0.464,1,-10.086,0.866,0.129,0.0,0.109,0.604,75.801,208687,Pop
48,Dua Lipa,Future Nostalgia,Physical,3AzjcOeAmA57TIOr9zF1ZW,0.844,0.647,0,-3.756,0.0137,0.0457,0.000658,0.102,0.746,146.967,193829,Dance/Electronic
49,Travis Scott,ASTROWORLD,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,0.73,0.834,8,-3.714,0.00513,0.222,0.0,0.124,0.446,155.008,312820,Hip-Hop/Rap
